DEPOTS  CUSTOMER
2 150

CUST NO.    XCOORD.    YCOORD.     READY TIME    DUE DATE   SERVICE TIME                 WEIGHT    DEPOT
0                0              0               0               1000            0               0               0
1                35             31              0               1000            0               0               0
2                8              46              0               1000            0               0               0
3               44              40              112             154             18              0.65            2
4               44              40              42              81              22              0.71            2
5               44              40              55              75              15              0.71            1
6               44              40              99              130             15              0.63            2
7               44              40              28              71              22              0.27            2
8               44              40              44              58              6               0.67            1
9               49              29              144             165             11              0.34            1
10              49              29              101             126             20              0.82            2
11              49              29              54              74              8               0.24            1
12              49              29              17              42              9               0.02            1
13              49              29              136             166             8               0.41            1
14              49              29              73              99              12              0.39            1
15              49              29              29              40              6               0.07            1
16              49              29              57              99              19              0.27            2
17              26              13              80              113             23              0.36            2
18              26              13              88              116             22              0.96            2
19              26              13              51              78              17              0.89            2
20              26              13              81              97              12              0.78            1
21              26              13              116             138             19              0.52            2
22              26              13              15              53              14              0.5             1
23              21              2               83              102             15              0.08            1
24              21              2               12              52              19              0.18            2
25              21              2               79              102             15              0.87            1
26              21              2               33              65              26              0.28            2
27              21              2               66              107             17              0.25            1
28              21              2               81              125             24              0.83            2
29              21              2               110             141             25              0.13            2
30              21              2               1               31              15              0.73            1
31              21              2               100             126             17              0.78            1
32              4               25              30              66              13              0.89            1
33              4               25              62              88              10              0.41            2
34              4               25              60              77              9               0.5             2
35              4               25              97              126             12              0.26            1
36              4               25              111             140             16              0.78            1
37              4               25              11              40              12              0.89            1
38              4               25              53              81              17              0.61            2
39              22              34              16              40              12              0.36            1
40              22              34              25              60              11              0.65            1
41              22              34              31              63              14              0.82            2
42              22              34              91              123             12              0.82            1
43              22              34              19              38              7               0.04            1
44              22              34              72              101             11              0.32            2
45              22              34              17              39              11              0.89            2
46              22              34              109             132             8               0.6             2
47              22              34              35              52              9               0.75            2
48              39              21              12              36              19              0.04            2
49              39              21              10              39              14              0.7             1
50              39              21              7               45              18              0.59            2
51              39              21              90              115             13              0.96            1
52              39              21              58              84              18              0.84            2
53              39              21              30              47              12              0.03            1
54              39              21              52              82              14              0.94            1
55              14              47              83              103             11              0.54            2
56              14              47              35              59              17              0.58            1
57              14              47              72              105             19              0.35            1
58              14              47              117             134             13              0.48            2
59              14              47              120             140             16              0.33            1
60              14              47              39              65              5               0.96            2
61              18              9               76              103             14              0.42            1
62              18              9               45              68              20              0.26            2
63              18              9               64              82              11              0.43            1
64              18              9               68              104             19              0.49            2
65              18              9               56              91              20              0.32            1
66              1               31              78              102             15              0.27            1
67              1               31              74              106             9               0.54            2
68              1               31              79              90              8               0.49            2
69              1               31              19              60              18              0.26            1
70              1               31              120             141             10              0.64            2
71              1               31              141             164             19              0.86            1
72              1               31              12              39              22              0.8             1
73              1               31              37              65              14              0.24            2
74              1               31              102             120             9               0.65            2
75              1               31              135             163             19              0.29            1
76              18              46              65              83              12              0.42            1
77              18              46              137             173             12              0.96            1
78              18              46              30              56              13              0.27            2
79              18              46              79              105             10              0.84            1
80              18              46              68              87              8               0.68            2
81              18              46              136             153             10              0.5             1
82              18              46              40              77              14              0.4             2
83              18              46              59              86              15              0.89            1
84              18              46              11              38              15              0.06            1
85              18              46              143             173             6               0.91            2
86              18              36              33              45              8               0.5             2
87              18              36              125             156             7               0.51            2
88              18              36              143             175             12              0.75            1
89              18              36              25              40              10              0.57            1
90              18              36              46              75              13              0.63            2
91              24              48              5               30              8               0.66            2
92              24              48              59              81              10              0.43            1
93              24              48              18              53              16              0.3             2
94              24              48              100             130             11              0.34            1
95              24              48              74              113             15              0.41            2
96              35              11              126             155             24              0.35            2
97              35              11              143             170             16              0.35            2
98              35              11              59              79              16              0.68            1
99              35              11              38              64              22              0.7             2
100             35              11              134             155             9               0.52            1
101             35              11              85              122             16              0.28            2
102             34              1               80              103             20              0.78            2
103             34              1               18              34              13              0.07            1
104             34              1               86              120             22              0.14            2
105             34              1               130             171             20              0.35            1
106             34              1               134             171             17              0.02            1
107             34              1               106             139             26              0.67            2
108             34              1               32              66              14              0.71            1
109             34              1               81              113             19              0.9             2
110             41              27              123             158             19              0.83            2
111             41              27              4               28              10              0.4             1
112             41              27              93              137             21              0.74            2
113             41              27              33              52              4               0.65            1
114             41              27              128             160             12              0.78            1
115             41              27              109             128             16              0.83            2
116             16              44              4               33              18              0.02            1
117             16              44              24              49              13              0.65            1
118             16              44              134             159             4               0.93            2
119             16              44              27              48              15              0.16            1
120             16              44              70              94              7               0.67            2
121             16              44              100             128             12              0.97            2
122             12              28              122             152             9               0.47            1
123             12              28              133             164             18              0.96            1
124             12              28              64              90              17              0.24            2
125             12              28              32              46              8               0.55            2
126             12              28              136             163             16              0.89            1
127             9               12              76              107             13              0.12            2
128             9               12              133             160             14              0.98            1
129             9               12              10              50              17              0.81            1
130             9               12              131             164             14              0.3             2
131             9               12              68              103             16              0.16            2
132             9               12              58              94              12              0.72            1
133             28              32              129             165             14              0.78            2
134             28              32              24              44              10              0.88            1
135             28              32              111             128             13              0.58            2
136             28              32              52              82              17              0.35            2
137             28              32              61              83              10              0.59            1
138             28              32              32              50              6               0.82            1
139             28              32              14              50              18              0.28            2
140             28              32              104             129             10              0.31            2
141             47              22              23              48              6               0.78            1
142             47              22              107             128             7               0.22            1
143             47              22              16              51              24              0.21            2
144             47              22              7               48              18              0.61            2
145             47              22              125             161             14              0.72            1
146             47              22              125             159             10              0.92            1
147             47              22              135             158             12              0.69            1
148             47              22              121             145             21              0.59            2
149             47              22              138             158             13              0.08            1
150             47              22              107             138             21              0.67            2
151             22              2               62              79              12              0.76            1
152             22              2               137             160             13              0.71            1
